# bpm=135.9992
# duration=219.0803
onset	36.1302	0.3188
kick	36.1535	0.2378
kick	36.2463	0.4478
snare	36.3392	0.3159
hat	36.3392	0.1668
onset	36.3624	0.1911
hat	36.4553	0.1305
onset	36.5250	0.1325
snare	36.5482	0.7038
kick	36.5714	0.2340
beat	36.7107	1.0000
onset	36.7107	0.3249
hat	36.7804	0.2523
beat	36.9894	1.0000
snare	36.9894	0.5445
hat	36.9894	0.3682
onset	36.9894	0.4280
kick	37.0126	0.2702
onset	37.1751	0.2893
kick	37.1984	0.3248
hat	37.2216	0.2760
onset	37.2448	0.1901
snare	37.2912	0.1770
kick	37.3377	0.2640
snare	37.4306	0.5648
hat	37.4306	0.4215
kick	37.4770	0.2508
onset	37.4770	0.1274
beat	37.5467	1.0000
snare	37.5467	0.1569
onset	37.5467	0.2699
snare	37.6395	0.2217
hat	37.6395	0.3244
kick	37.7556	0.1832
onset	37.7556	0.1643
hat	37.7789	0.1522
snare	37.8485	0.1335
kick	37.8717	0.2564
onset	37.8717	0.1475
beat	37.9414	1.0000
onset	37.9414	0.1729
onset	38.0343	0.1529
kick	38.0575	0.1676
hat	38.0807	0.3841
snare	38.1504	0.1457
snare	38.2897	0.1313
hat	38.2897	0.4344
onset	38.2897	0.2638
kick	38.3129	0.2039
hat	38.4058	0.3002
beat	38.4522	1.0000
onset	38.4522	0.1630
snare	38.4755	0.2530
hat	38.5219	0.6294
snare	38.5683	0.3125
snare	38.7309	0.3293
hat	38.7309	0.2679
beat	38.7773	1.0000
kick	38.7773	0.2320
onset	38.7773	0.1392
kick	38.8702	0.7086
onset	38.9166	0.4935
snare	38.9631	0.2613
hat	38.9631	0.4501
snare	39.1488	0.1948
kick	39.1721	0.3532
onset	39.1721	0.3133
snare	39.2649	0.2445
beat	39.2882	1.0000
kick	39.3114	0.4180
snare	39.3810	0.3353
hat	39.3810	0.7293
kick	39.4507	0.3605
onset	39.4507	0.2493
snare	39.4971	0.2284
snare	39.5900	0.2209
hat	39.5900	0.3502
beat	39.6597	1.0000
kick	39.6597	0.5815
onset	39.6597	0.2991
hat	39.8222	0.5339
kick	39.9383	0.3533
snare	39.9383	0.2555
onset	39.9383	0.2691
snare	40.0312	0.1935
